2023-12-04 21:53:44 INFO  GraphReader:54 - graphs/add20.graph. Nodes: 2395, Edges: 7462
2023-12-04 21:53:44 INFO  GraphReader:145 - Color Distribution : [ Color: 0, Count: 598 ] [ Color: 1, Count: 599 ] [ Color: 2, Count: 599 ] [ Color: 3, Count: 599 ] 
2023-12-04 21:53:44 INFO  Jabeja:253 - round: 0, edge cut:4280, swaps: 2346, migrations: 1550
2023-12-04 21:53:44 INFO  Jabeja:253 - round: 1, edge cut:3307, swaps: 4577, migrations: 1706
2023-12-04 21:53:44 INFO  Jabeja:253 - round: 2, edge cut:2764, swaps: 6727, migrations: 1770
2023-12-04 21:53:44 INFO  Jabeja:253 - round: 3, edge cut:2498, swaps: 8832, migrations: 1772
2023-12-04 21:53:44 INFO  Jabeja:253 - round: 4, edge cut:2304, swaps: 10920, migrations: 1772
2023-12-04 21:53:44 INFO  Jabeja:253 - round: 5, edge cut:2214, swaps: 12980, migrations: 1780
2023-12-04 21:53:44 INFO  Jabeja:253 - round: 6, edge cut:2155, swaps: 15058, migrations: 1781
2023-12-04 21:53:44 INFO  Jabeja:253 - round: 7, edge cut:2108, swaps: 17085, migrations: 1783
2023-12-04 21:53:44 INFO  Jabeja:253 - round: 8, edge cut:2076, swaps: 19080, migrations: 1791
2023-12-04 21:53:45 INFO  Jabeja:253 - round: 9, edge cut:2060, swaps: 21094, migrations: 1800
2023-12-04 21:53:45 INFO  Jabeja:253 - round: 10, edge cut:2033, swaps: 23102, migrations: 1794
2023-12-04 21:53:45 INFO  Jabeja:253 - round: 11, edge cut:2005, swaps: 25081, migrations: 1798
2023-12-04 21:53:45 INFO  Jabeja:253 - round: 12, edge cut:1979, swaps: 27089, migrations: 1801
2023-12-04 21:53:45 INFO  Jabeja:253 - round: 13, edge cut:1967, swaps: 29079, migrations: 1792
2023-12-04 21:53:45 INFO  Jabeja:253 - round: 14, edge cut:1953, swaps: 31059, migrations: 1788
2023-12-04 21:53:45 INFO  Jabeja:253 - round: 15, edge cut:1941, swaps: 33088, migrations: 1792
2023-12-04 21:53:45 INFO  Jabeja:253 - round: 16, edge cut:1932, swaps: 35074, migrations: 1797
2023-12-04 21:53:45 INFO  Jabeja:253 - round: 17, edge cut:1928, swaps: 37083, migrations: 1782
2023-12-04 21:53:45 INFO  Jabeja:253 - round: 18, edge cut:1921, swaps: 39089, migrations: 1787
2023-12-04 21:53:45 INFO  Jabeja:253 - round: 19, edge cut:1914, swaps: 41085, migrations: 1780
2023-12-04 21:53:45 INFO  Jabeja:253 - round: 20, edge cut:1911, swaps: 43095, migrations: 1783
2023-12-04 21:53:45 INFO  Jabeja:253 - round: 21, edge cut:1907, swaps: 45060, migrations: 1786
2023-12-04 21:53:45 INFO  Jabeja:253 - round: 22, edge cut:1904, swaps: 47021, migrations: 1789
